sample_id,cluster_label
0,4
1,15
2,1
3,7
4,13
5,15
6,6
7,13
8,2
9,7
10,13
11,1
12,10
13,15
14,9
15,9
16,3
17,15
18,2
19,4
20,2
21,13
22,5
23,12
24,13
25,15
26,12
27,8
28,7
29,5
30,15
31,3
32,0
33,15
34,12
35,13
36,7
37,13
38,11
39,9
40,9
41,6
42,15
43,12
44,7
45,3
46,15
47,13
48,8
49,7
50,12
51,7
52,0
53,15
54,11
55,11
56,12
57,10
58,3
59,7
60,0
61,7
62,11
63,15
64,13
65,4
66,10
67,3
68,3
69,15
70,13
71,13
72,5
73,7
74,15
75,13
76,15
77,7
78,13
79,13
80,9
81,1
82,11
83,15
84,7
85,15
86,7
87,11
88,1
89,1
90,1
91,9
92,1
93,12
94,12
95,12
96,13
97,2
98,7
99,6
100,7
101,11
102,7
103,15
104,15
105,15
106,3
107,0
108,12
109,15
110,15
111,7
112,7
113,11
114,15
115,7
116,13
117,9
118,1
119,3
120,12
121,6
122,15
123,15
124,13
125,15
126,12
127,3
128,1
129,15
130,4
131,8
132,7
133,7
134,10
135,15
136,13
137,15
138,3
139,12
140,12
141,3
142,13
143,7
144,14
145,8
146,13
147,11
148,8
149,7
150,13
151,8
152,2
153,3
154,3
155,8
156,6
157,7
158,7
159,3
160,15
161,13
162,13
163,15
164,13
165,12
166,6
167,12
168,14
169,4
170,7
171,7
172,15
173,7
174,9
175,9
176,13
177,14
178,7
179,10
180,10
181,13
182,12
183,1
184,15
185,4
186,11
187,3
188,8
189,6
190,15
191,6
192,13
193,15
194,8
195,7
196,1
197,13
198,12
199,12
200,10
201,13
202,12
203,4
204,15
205,7
206,10
207,7
208,12
209,6
210,6
211,12
212,4
213,15
214,3
215,13
216,5
217,4
218,7
219,1
220,7
221,13
222,15
223,4
224,11
225,7
226,11
227,13
228,15
229,13
230,15
231,0
232,15
233,7
234,7
235,8
236,2
237,15
238,0
239,3
240,5
241,13
242,13
243,3
244,1
245,15
246,11
247,0
248,9
249,13
250,3
251,12
252,11
253,6
254,1
255,13
256,0
257,8
258,7
259,12
260,12
261,7
262,10
263,13
264,11
265,12
266,6
267,12
268,8
269,15
270,5
271,7
272,15
273,7
274,3
275,1
276,7
277,7
278,12
279,12
280,15
281,6
282,4
283,7
284,14
285,13
286,5
287,7
288,3
289,7
290,15
291,13
292,12
293,7
294,7
295,12
296,4
297,13
298,7
299,12
300,14
301,3
302,12
303,13
304,11
305,7
306,3
307,13
308,3
309,0
310,15
311,9
312,12
313,15
314,14
315,2
316,12
317,3
318,12
319,2
320,7
321,12
322,13
323,12
324,12
325,0
326,7
327,15
328,7
329,1
330,11
331,12
332,12
333,12
334,15
335,7
336,12
337,12
338,11
339,13
340,3
341,10
342,13
343,9
344,11
345,12
346,13
347,7
348,6
349,6
350,7
351,12
352,12
353,12
354,2
355,1
356,7
357,15
358,15
359,12
360,15
361,8
362,13
363,12
364,12
365,15
366,13
367,12
368,15
369,7
370,1
371,7
372,9
373,13
374,15
375,3
376,9
377,10
378,3
379,7
380,10
381,12
382,8
383,12
384,7
385,7
386,0
387,9
388,15
389,13
390,15
391,6
392,12
393,12
394,13
395,0
396,2
397,4
398,2
399,9
400,11
401,15
402,12
403,9
404,12
405,12
406,5
407,0
408,4
409,11
410,7
411,3
412,7
413,0
414,7
415,12
416,13
417,7
418,13
419,3
420,1
421,12
422,0
423,13
424,3
425,7
426,12
427,1
428,4
429,13
430,13
431,15
432,13
433,12
434,13
435,15
436,7
437,7
438,0
439,7
440,7
441,10
442,7
443,14
444,12
445,7
446,7
447,9
448,12
449,9
450,11
451,3
452,12
453,15
454,10
455,7
456,15
457,13
458,7
459,11
460,13
461,15
462,2
463,7
464,7
465,2
466,3
467,1
468,9
469,2
470,7
471,8
472,13
473,13
474,3
475,1
476,6
477,13
478,3
479,7
480,3
481,13
482,7
483,15
484,7
485,8
486,15
487,12
488,12
489,3
490,3
491,13
492,9
493,15
494,4
495,13
496,3
497,12
498,12
499,15
500,8
501,6
502,12
503,6
504,15
505,12
506,11
507,9
508,7
509,13
510,1
511,3
512,13
513,13
514,11
515,12
516,9
517,13
518,5
519,2
520,4
521,14
522,3
523,6
524,8
525,6
526,13
527,0
528,13
529,5
530,12
531,14
532,12
533,4
534,13
535,13
536,15
537,10
538,2
539,3
540,7
541,15
542,9
543,11
544,0
545,8
546,15
547,12
548,12
549,15
550,7
551,13
552,7
553,12
554,1
555,14
556,3
557,13
558,8
559,12
560,12
561,7
562,6
563,9
564,13
565,7
566,11
567,10
568,7
569,7
570,0
571,12
572,13
573,13
574,1
575,6
576,13
577,13
578,11
579,3
580,15
581,15
582,15
583,3
584,13
585,3
586,12
587,15
588,12
589,7
590,12
591,12
592,15
593,12
594,9
595,15
596,4
597,11
598,15
599,12
600,11
601,15
602,14
603,13
604,3
605,9
606,3
607,13
608,14
609,10
610,13
611,7
612,12
613,12
614,8
615,6
616,5
617,0
618,14
619,12
620,15
621,2
622,12
623,13
624,15
625,9
626,1
627,7
628,13
629,5
630,2
631,11
632,11
633,12
634,7
635,11
636,15
637,3
638,12
639,13
640,3
641,5
642,2
643,8
644,9
645,8
646,5
647,6
648,14
649,4
650,9
651,10
652,11
653,0
654,3
655,5
656,10
657,10
658,2
659,4
660,3
661,5
662,10
663,10
664,0
665,2
666,9
667,10
668,10
669,2
670,4
671,5
672,2
673,5
674,3
675,6
676,14
677,10
678,6
679,3
680,9
681,6
682,11
683,3
684,4
685,9
686,8
687,2
688,14
689,1
690,3
691,4
692,11
693,6
694,11
695,4
696,5
697,9
698,8
699,8
700,6
701,5
702,11
703,9
704,2
705,4
706,5
707,4
708,8
709,6
710,5
711,11
712,5
713,9
714,14
715,6
716,6
717,0
718,2
719,6
720,8
721,8
722,9
723,2
724,0
725,4
726,10
727,14
728,6
729,14
730,3
731,3
732,10
733,9
734,14
735,0
736,14
737,0
738,6
739,1
740,8
741,2
