feature,outliers,pct
macd_hist,219512,28.636768644517762
macd,219043,28.57558454299129
macd_signal,218436,28.4963974435743
macro_key_rate_delta3m,179605,23.43064084149665
news_count,139791,18.236645493575672
obv,135195,17.637067389917537
volume_lag_1d,130487,17.02287815753667
vol_ma20,126831,16.545929169944387
vol_ma50,124723,16.270926854341397
atr,88004,11.480694393892549
close_lag_1d,87446,11.407899663291756
ema_12,87444,11.407638750278851
bb_lower,87376,11.398767707840046
close_lag_5d,87373,11.398376338320686
ema_26,87369,11.397854512294874
close_lag_20d,87333,11.393158078062564
sma_20,86955,11.343845518623318
bb_mid,86955,11.343845518623318
rolling_max_20,86267,11.254091442183633
sma_50,86267,11.254091442183633
bb_upper,86045,11.22513009775106
sma_200,82140,10.715697440051974
real_rate_delta3m,62599,8.166446847453294
macro_inflation_delta1m,61344,8.00272393185474
usd_rub_vol_20d_delta3m,60854,7.938800243692754
volume_change_1d,60278,7.863657295975808
real_rate_delta1m,59960,7.8221721269237445
macro_inflation_delta3m,55337,7.219071697591381
usd_rub_vol_20d_delta1m,49829,6.500517260048086
usd_rub_delta3m,34743,4.532450403697659
log_ret_lag_20d,34206,4.462395259732381
usd_rub_delta1m,33206,4.33193875327935
log_ret_lag_5d,33180,4.328546884111572
log_ret_lag_1d,32891,4.290844953746645
vol_ratio_50,32749,4.272320129830316
log_ret,32747,4.27205921681741
upper_shadow,32350,4.220267983755556
macro_inflation_lag3m,29876,3.8975185867907567
daily_change,29827,3.8911262179745583
relative_log_ret_1d,29676,3.871427285500151
vol_ratio_20,29324,3.825506595228684
volatility_20d,29043,3.7888483169153817
intraday_range,28018,3.6551303978010248
body_size,27104,3.5358931509029543
macro_money_supply_delta1m,26556,3.4644029853666938
m2_growth_3m_delta1m,25438,3.318552611152205
usd_rub_dev_from_ma20_lag3m,25137,3.2792852027098425
usd_rub_dev_from_ma20_lag1m,25096,3.2739364859452684
usd_rub_dev_from_ma20_delta3m,25087,3.272762377387191
usd_rub_dev_from_ma20,24244,3.162787542447286
macro_inflation_lag1m,23990,3.129651589808216
market_log_ret_1d,23829,3.108648092269278
lower_shadow,22576,2.94518608968363
price_sma20_dev,22244,2.9018745295412236
usd_rub_vol_20d_lag3m,22240,2.901352703515412
usd_rub_vol_20d,20956,2.7338465492297197
usd_rub_vol_20d_lag1m,20955,2.7337160927232667
momentum_20,20240,2.640439690609349
roc_20,20240,2.640439690609349
macro_inflation,19131,2.495763424952938
price_sma50_dev,18396,2.39987789270996
relative_return_20d,17273,2.253375235963206
usd_rub_dev_from_ma20_delta1m,16453,2.1464009006717206
parkinson_vol_20d,13821,1.8030393756873426
price_sma200_dev,12582,1.6414037641920372
drawdown_20d,12359,1.6123119632530114
macro_key_rate_lag3m,2368,0.3089210072807776
macro_key_rate_lag1m,2368,0.3089210072807776
m2_growth_3m_delta3m,1708,0.22281971302177708
macro_money_supply_delta3m,1084,0.14141485299508572
cci,295,0.03848466940364417
rsi,0,0.0
stoch_d,0,0.0
stoch_k,0,0.0
williams_r,0,0.0
real_rate,0,0.0
price_above_sma20,0,0.0
sma_50_200_cross,0,0.0
sma_20_50_cross,0,0.0
usd_rub,0,0.0
macro_money_supply,0,0.0
macro_key_rate,0,0.0
m2_growth_3m,0,0.0
macd_bullish,0,0.0
usd_rub_lag3m,0,0.0
usd_rub_lag1m,0,0.0
real_rate_lag3m,0,0.0
real_rate_lag1m,0,0.0
macro_money_supply_lag3m,0,0.0
macro_money_supply_lag1m,0,0.0
m2_growth_3m_lag3m,0,0.0
m2_growth_3m_lag1m,0,0.0
news_sentiment,0,0.0
news_sentiment_std,0,0.0
week_of_year,0,0.0
day_of_week_sin,0,0.0
day_of_week_cos,0,0.0
month_sin,0,0.0
month_cos,0,0.0
is_quarter_end,0,0.0
