ticker,n_days,first_date,last_date,avg_volume,avg_close
LKOH,6305,1999-06-01,2024-08-27,1414817.394924663,2605.7786677240288
SNGS,6305,1999-06-01,2024-08-27,338411.77779540047,25.368590007930212
SNGSP,6304,1999-06-01,2024-08-27,259975.357392132,23.53098445431472
RTKM,6295,1999-06-01,2024-08-27,342921.06687847496,100.99186497220016
MSNG,6295,1999-06-01,2024-08-27,37248.84320889595,2.2943692454328835
SBERP,6293,1999-06-01,2024-08-27,1473965.302081678,91.30794533608773
SBER,6293,1999-06-01,2024-08-27,8098578.755442555,107.31402510726204
RTKMP,6249,1999-06-02,2024-08-27,143001.23939830373,57.71762842054729
AFLT,6098,1999-08-11,2024-08-27,512287.6161036405,58.45188914398163
SIBN,5822,1999-09-06,2024-08-27,155565.39797320508,212.66774304362764
TATNP,5672,2001-12-10,2024-08-27,399410.71544428775,217.56061354019747
TATN,5672,2001-12-07,2024-08-27,2207640.9522214388,287.3291784203103
GMKN,5597,2001-11-01,2024-08-27,321161658.11649096,85.23531177416473
TRNFP,5437,2002-07-01,2024-08-27,325520082.9966894,902.7056648887254
MFGS,5374,1999-06-02,2024-08-27,226.42445106066245,513.0145329363603
MFGSP,5258,2000-02-01,2024-08-27,325.8571700266261,387.6651958919742
MTSS,5124,2004-02-11,2024-08-27,199226.0962138954,249.68298594847778
IRKT,5112,2004-03-09,2024-08-27,7448.499608763694,21.773904538341156
MGTSP,4938,2003-01-24,2024-08-27,5313.402794653706,854.883151073309
KMAZ,4873,2005-02-09,2024-08-27,23077.271290785964,67.64882002872974
UTAR,4810,2005-02-18,2024-08-27,2100.767151767152,11.184089397089398
CHMF,4796,2005-06-22,2024-08-27,1119949.0004170141,698.4580483736447
SVAV,4779,2005-05-14,2024-08-27,11900.715003138732,529.4603892027621
VSMO,4743,2005-03-02,2024-08-27,2127.5779042799913,15360.763440860215
ELFV,4736,2005-09-14,2024-08-27,57426.47255067567,1.4734143369932433
MAGN,4654,2006-01-18,2024-08-27,1284384.221100129,29.98922840567254
GAZP,4652,2006-01-23,2024-08-27,4709534.158856406,187.20326311263972
MSRS,4631,2006-02-10,2024-08-27,19970.17836320449,1.2601228460375729
APTK,4617,2003-02-06,2024-08-27,88175.32878492528,228.28585640025995
NLMK,4592,2006-04-18,2024-08-27,423498.04529616726,111.82212543554007
PLZL,4577,2006-05-12,2024-08-27,144967.78523050033,4726.156434345641
ROSN,4530,2006-07-19,2024-08-27,1458955.640397351,316.6675562913907
MGNT,4509,2006-05-16,2024-08-27,183859.6986027944,5202.147882013751
NVTK,4508,2006-08-18,2024-08-27,1073471.785492458,677.7504436557232
ROSB,4468,2006-02-17,2024-08-27,4267.574082363473,90.9626678603402
AKRN,4460,2006-10-20,2024-08-27,13599.048878923766,4879.860089686099
RASP,4441,2006-11-14,2024-08-27,140818.68453051115,137.21968025219545
KUBE,4407,2000-01-13,2024-08-27,1555.9600635352847,187.03031540730655
TGKB,4394,2007-01-30,2024-08-27,589592.9981793355,0.00625866181156122
LSNG,4372,2000-01-18,2024-08-27,10219.27241537054,13.195985818847209
TGKA,4356,2007-03-26,2024-08-27,-1071.9802571166208,0.011763780532598715
TRMK,4330,2007-04-17,2024-08-27,90490.39930715936,100.84256351039261
VTBR,4314,2007-05-28,2024-08-27,6457690.091562355,272.9570700046361
LSNGP,4303,2000-01-19,2024-08-27,16867.071113176855,71.55560074366721
OGKB,4296,2007-06-22,2024-08-27,209331.08193668528,0.7565993016759777
MGTS,4292,2003-01-15,2024-08-27,836.0617427772601,1081.224603914259
PIKK,4282,2007-06-29,2024-08-27,374178.45679588977,366.2413358243811
SAREP,4279,2000-03-07,2024-08-27,1402.118485627483,0.1946766534236971
TTLK,4273,2007-03-26,2024-08-27,16126.079101333957,0.2983744441844137
SARE,4267,1999-06-02,2024-08-27,1182.9226622920085,0.2881515350363253
TGKN,4259,2007-04-13,2024-08-27,522670.9274477577,0.004236473350551773
NMTP,4196,2007-11-08,2024-08-27,80030.87249761677,5.523515729265967
AFKS,4173,2007-12-12,2024-08-27,258608.2353223101,21.254393481907503
MVID,4165,2007-12-17,2024-08-27,263566.09195678274,290.51870348139255
KROT,4148,2006-01-31,2024-08-27,777.2377049180328,582.7679122468659
DVEC,4117,2007-12-13,2024-08-27,8009.678892397376,1.108236094243381
BSPB,4109,2008-03-19,2024-08-27,47136.49622779265,84.08967875395473
HYDR,4069,2008-05-22,2024-08-27,731293.10936348,0.837998574588351
LSRG,4058,2007-12-27,2024-08-27,75439.39083292263,717.0484475110892
TGKBP,4052,2007-01-30,2024-08-27,125378.51135241856,0.00697612783810464
FEES,4021,2008-07-16,2024-08-27,9126646.007212136,0.1783586595374285
MRKP,4012,2008-08-05,2024-08-27,124429.7482552343,0.19650124626121637
