,target_return_20d
body_size,0.15418990209079567
intraday_range,0.15191502781360153
relative_log_ret_1d,0.09320740216144227
usd_rub_delta1m,0.09223527070850447
log_ret,0.08026599355146058
usd_rub_delta3m,0.0790964132070505
usd_rub_dev_from_ma20,0.07719095673869225
relative_return_20d,0.07652022938493412
lower_shadow,0.058335508432508336
sma_50_200_cross,0.046544960779231946
usd_rub_vol_20d,0.04606901443352632
m2_growth_3m_lag1m,0.04467108625185619
sma_20_50_cross,0.04393999515047852
rsi,0.043145934260073834
usd_rub,0.040691108161433634
cci,0.04016831030665245
usd_rub_dev_from_ma20_lag1m,0.03995609649975556
price_above_sma20,0.03982968761430506
macro_inflation_delta3m,0.039564716766940074
usd_rub_dev_from_ma20_delta3m,0.03905879758755489
