,rmse,rmse_std,mae,mae_std,r2,r2_std
Baseline,0.1212,0.0008,0.0827,0.0012,-0.1534,0.0145
Correlation filter,0.1231,0.0028,0.0866,0.0028,-0.1593,0.0526
No multicollinearity,0.1193,0.0024,0.0809,0.0025,-0.1188,0.0447
PCA,0.1152,0.002,0.0774,0.0017,-0.0433,0.0361
With target lags,0.1073,0.0023,0.0687,0.0021,0.096,0.0392
Ablation: remove price_technical,0.1297,0.0128,0.0918,0.0119,-0.3314,0.27
Ablation: remove volatility,0.119,0.0032,0.0806,0.0031,-0.1138,0.0599
Ablation: remove volume,0.117,0.0007,0.0788,0.0006,-0.076,0.0137
Ablation: remove price_lags,0.118,0.002,0.0791,0.0031,-0.0945,0.0377
Ablation: remove macro,0.117,0.0008,0.079,0.0007,-0.0759,0.0138
Ablation: remove news,0.121,0.001,0.0829,0.0012,-0.1497,0.02
Ablation: remove temporal,0.1248,0.0055,0.0872,0.0062,-0.2262,0.1065
Ablation: remove market,0.12,0.0045,0.0813,0.0042,-0.1323,0.0862
Horizon 5d,0.0644,0.001,0.0361,0.0011,-0.0628,0.0346
Horizon 20d,0.1212,0.0008,0.0827,0.0012,-0.1534,0.0145
Horizon 200d,0.3891,0.0086,0.2953,0.011,-0.362,0.0597
